temperature	V(ntc)
4.800000000000637e+01	3.558252e-01
4.810000000000639e+01	3.550650e-01
4.820000000000641e+01	3.543058e-01
4.830000000000643e+01	3.535477e-01
4.840000000000646e+01	3.527907e-01
4.850000000000648e+01	3.520348e-01
4.860000000000650e+01	3.512800e-01
4.870000000000653e+01	3.505262e-01
4.880000000000655e+01	3.497736e-01
4.890000000000657e+01	3.490222e-01
4.900000000000659e+01	3.482718e-01
4.910000000000662e+01	3.475225e-01
4.920000000000664e+01	3.467743e-01
4.930000000000666e+01	3.460272e-01
4.940000000000668e+01	3.452813e-01
4.950000000000671e+01	3.445365e-01
4.960000000000673e+01	3.437927e-01
4.970000000000675e+01	3.430501e-01
4.980000000000678e+01	3.423086e-01
4.990000000000680e+01	3.415683e-01
5.000000000000682e+01	3.408290e-01
5.010000000000684e+01	3.400909e-01
5.020000000000687e+01	3.393539e-01
5.030000000000689e+01	3.386181e-01
5.040000000000691e+01	3.378833e-01
5.050000000000693e+01	3.371497e-01
5.060000000000696e+01	3.364172e-01
5.070000000000698e+01	3.356859e-01
5.080000000000700e+01	3.349557e-01
5.090000000000703e+01	3.342266e-01
5.100000000000705e+01	3.334987e-01
5.110000000000707e+01	3.327719e-01
5.120000000000709e+01	3.320462e-01
5.130000000000712e+01	3.313217e-01
5.140000000000714e+01	3.305984e-01
5.150000000000716e+01	3.298761e-01
5.160000000000719e+01	3.291551e-01
5.170000000000721e+01	3.284351e-01
5.180000000000723e+01	3.277163e-01
5.190000000000725e+01	3.269987e-01
5.200000000000728e+01	3.262822e-01
5.210000000000730e+01	3.255668e-01
5.220000000000732e+01	3.248526e-01
5.230000000000734e+01	3.241396e-01
5.240000000000737e+01	3.234277e-01
5.250000000000739e+01	3.227170e-01
5.260000000000741e+01	3.220074e-01
5.270000000000744e+01	3.212990e-01
5.280000000000746e+01	3.205917e-01
5.290000000000748e+01	3.198857e-01
5.300000000000750e+01	3.191807e-01
5.310000000000753e+01	3.184769e-01
5.320000000000755e+01	3.177743e-01
5.330000000000757e+01	3.170729e-01
5.340000000000759e+01	3.163726e-01
5.350000000000762e+01	3.156735e-01
